Element.Name2,Element.Name
skl_Reading Com_g Comprehension,skl_Reading Comprehension
skl_Active List_ctive Listening,skl_Active Listening
skl_Writing_skl_Writing,skl_Writing
skl_Speaking_skl_Speaking,skl_Speaking
skl_Mathematics_skl_Mathematics,skl_Mathematics
skl_Science_skl_Science,skl_Science
skl_Critical Th_itical Thinking,skl_Critical Thinking
skl_Active Lear_Active Learning,skl_Active Learning
skl_Learning St_ning Strategies,skl_Learning Strategies
skl_Monitoring_skl_Monitoring,skl_Monitoring
skl_Social Perc_ Perceptiveness,skl_Social Perceptiveness
skl_Coordinatio_kl_Coordination,skl_Coordination
skl_Persuasion_skl_Persuasion,skl_Persuasion
skl_Negotiation_skl_Negotiation,skl_Negotiation
skl_Instructing_skl_Instructing,skl_Instructing
skl_Service Ori_ice Orientation,skl_Service Orientation
skl_Complex Pro_Problem Solving,skl_Complex Problem Solving
skl_Operations _ations Analysis,skl_Operations Analysis
skl_Technology _chnology Design,skl_Technology Design
skl_Equipment S_pment Selection,skl_Equipment Selection
skl_Installatio_kl_Installation,skl_Installation
skl_Programming_skl_Programming,skl_Programming
skl_Operation M_tion Monitoring,skl_Operation Monitoring
skl_Operation a_ion and Control,skl_Operation and Control
skl_Equipment M_ent Maintenance,skl_Equipment Maintenance
skl_Troubleshoo_Troubleshooting,skl_Troubleshooting
skl_Repairing_skl_Repairing,skl_Repairing
skl_Quality Con_ontrol Analysis,skl_Quality Control Analysis
skl_Judgment an_Decision Making,skl_Judgment and Decision Making
skl_Systems Ana_ystems Analysis,skl_Systems Analysis
skl_Systems Eva_tems Evaluation,skl_Systems Evaluation
skl_Time Manage_Time Management,skl_Time Management
skl_Management _ncial Resources,skl_Management of Financial Resources
skl_Management _erial Resources,skl_Management of Material Resources
skl_Management _onnel Resources,skl_Management of Personnel Resources
knl_Administrat_ and Management,knl_Administration and Management
knl_Clerical_knl_Clerical,knl_Clerical
knl_Economics a_ and Accounting,knl_Economics and Accounting
knl_Sales and M_s and Marketing,knl_Sales and Marketing
knl_Customer an_ersonal Service,knl_Customer and Personal Service
knl_Personnel a_Human Resources,knl_Personnel and Human Resources
knl_Production _ and Processing,knl_Production and Processing
knl_Food Produc_Food Production,knl_Food Production
knl_Computers a_and Electronics,knl_Computers and Electronics
knl_Engineering_ and Technology,knl_Engineering and Technology
knl_Design_knl_Design,knl_Design
knl_Building an_nd Construction,knl_Building and Construction
knl_Mechanical_knl_Mechanical,knl_Mechanical
knl_Mathematics_knl_Mathematics,knl_Mathematics
knl_Physics_knl_Physics,knl_Physics
knl_Chemistry_knl_Chemistry,knl_Chemistry
knl_Biology_knl_Biology,knl_Biology
knl_Psychology_knl_Psychology,knl_Psychology
knl_Sociology a_nd Anthropology,knl_Sociology and Anthropology
knl_Geography_knl_Geography,knl_Geography
knl_Medicine an_e and Dentistry,knl_Medicine and Dentistry
knl_Therapy and_ and Counseling,knl_Therapy and Counseling
knl_Education a_on and Training,knl_Education and Training
knl_English Lan_nglish Language,knl_English Language
knl_Foreign Lan_oreign Language,knl_Foreign Language
knl_Fine Arts_knl_Fine Arts,knl_Fine Arts
knl_History and_ and Archeology,knl_History and Archeology
knl_Philosophy _hy and Theology,knl_Philosophy and Theology
knl_Public Safe_ty and Security,knl_Public Safety and Security
knl_Law and Gov_ and Government,knl_Law and Government
knl_Telecommuni_ecommunications,knl_Telecommunications
knl_Communicati_tions and Media,knl_Communications and Media
knl_Transportat__Transportation,knl_Transportation
abl_Oral Compre_l Comprehension,abl_Oral Comprehension
abl_Written Com_n Comprehension,abl_Written Comprehension
abl_Oral Expres_Oral Expression,abl_Oral Expression
abl_Written Exp_tten Expression,abl_Written Expression
abl_Fluency of _luency of Ideas,abl_Fluency of Ideas
abl_Originality_abl_Originality,abl_Originality
abl_Problem Sen_lem Sensitivity,abl_Problem Sensitivity
abl_Deductive R_ctive Reasoning,abl_Deductive Reasoning
abl_Inductive R_ctive Reasoning,abl_Inductive Reasoning
abl_Information_mation Ordering,abl_Information Ordering
abl_Category Fl_ory Flexibility,abl_Category Flexibility
abl_Mathematica_tical Reasoning,abl_Mathematical Reasoning
abl_Number Faci_Number Facility,abl_Number Facility
abl_Memorizatio_bl_Memorization,abl_Memorization
abl_Speed of Cl_peed of Closure,abl_Speed of Closure
abl_Flexibility_lity of Closure,abl_Flexibility of Closure
abl_Perceptual _erceptual Speed,abl_Perceptual Speed
abl_Spatial Ori_ial Orientation,abl_Spatial Orientation
abl_Visualizati_l_Visualization,abl_Visualization
abl_Selective A_ctive Attention,abl_Selective Attention
abl_Time Sharin_bl_Time Sharing,abl_Time Sharing
abl_Arm-Hand St_Hand Steadiness,abl_Arm-Hand Steadiness
abl_Manual Dext_anual Dexterity,abl_Manual Dexterity
abl_Finger Dext_inger Dexterity,abl_Finger Dexterity
abl_Control Pre_ntrol Precision,abl_Control Precision
abl_Multilimb C_mb Coordination,abl_Multilimb Coordination
abl_Response Or_nse Orientation,abl_Response Orientation
abl_Rate Contro_bl_Rate Control,abl_Rate Control
abl_Reaction Ti_l_Reaction Time,abl_Reaction Time
abl_Wrist-Finge_st-Finger Speed,abl_Wrist-Finger Speed
abl_Speed of Li_f Limb Movement,abl_Speed of Limb Movement
abl_Static Stre_Static Strength,abl_Static Strength
abl_Explosive S_losive Strength,abl_Explosive Strength
abl_Dynamic Str_ynamic Strength,abl_Dynamic Strength
abl_Trunk Stren__Trunk Strength,abl_Trunk Strength
abl_Stamina_abl_Stamina,abl_Stamina
abl_Extent Flex_ent Flexibility,abl_Extent Flexibility
abl_Dynamic Fle_mic Flexibility,abl_Dynamic Flexibility
abl_Gross Body _dy Coordination,abl_Gross Body Coordination
