OCC1950,PRESGL,SEI
673,33.7,16
999,0,0
100,40.7,14
95,47,53
515,49.2,44
632,28,32
75,81.5,92
700,24.9,19
290,50.3,68
310,47.6,51
490,32.8,47
564,29.8,16
201,40.9,33
624,34.7,42
36,52.5,82
370,40.4,45
523,45.3,49
690,28.4,18
49,60.4,87
970,17.5,8
460,15.4,27
730,36.3,13
390,35.5,44
820,18.4,6
830,18.4,17
543,30.4,10
753,12.4,10
450,46.9,66
540,39.2,49
430,18.3,8
762,43.8,37
684,24.9,6
93,59.6,72
532,31.3,23
74,40.5,50
630,39.4,25
563,51.4,39
645,33.4,46
591,36.8,33
770,16.1,9
784,20.3,16
643,18.2,15
595,0,18
240,59.9,54
342,29.2,22
997,0,0
760,15.3,17
350,44.5,61
574,40.6,34
740,35,17
55,75.7,93
583,35,47
541,50.8,58
365,43.5,47
621,21.6,19
470,44,62
79,52.4,64
56,54.6,60
763,21.9,18
504,35.7,27
73,60.7,82
44,69.4,84
502,31.3,33
720,18.9,7
554,32.8,27
46,62.3,82
58,61.5,46
785,23.5,17
790,17.6,11
500,34.2,22
633,31.7,23
682,22,10
683,32.1,15
335,42.3,53
544,47.8,33
99,50.6,65
680,32.5,17
510,39.9,19
0,56.7,78
320,30.9,44
930,22.5,11
634,25,12
5,51.4,52
582,32.8,12
512,38,52
550,36.7,19
522,32.6,24
51,34.2,31
754,26.4,15
670,29,18
773,47.8,39
625,32.4,24
514,37.4,40
590,41.2,23
57,46,52
565,24.3,10
304,23.2,25
200,50,72
54,52.2,59
83,55.4,81
675,24.9,5
594,46.6,32
300,42.5,68
593,30.3,22
592,42,50
553,37.2,23
302,47.8,38
94,61,48
76,42.8,69
33,58.2,73
910,30.2,10
950,26.4,4
580,36,22
644,32.1,29
250,60.6,66
341,44.9,45
59,45.1,51
525,34.7,39
750,19.9,19
32,73.6,96
674,27.7,5
96,50.2,62
685,40.1,24
78,55.5,56
635,18.7,22
552,35,36
570,39.1,44
764,36.4,31
761,20.9,10
301,41.3,44
545,48.2,48
575,40.2,49
321,25.9,39
534,37.3,36
7,68.8,79
672,38.8,50
513,38.8,21
97,36.7,58
731,14.1,26
340,19.1,28
613,40.8,40
35,56.1,67
511,31.6,19
53,53.9,48
205,27.4,50
940,24.4,11
9,69,52
662,24.2,15
671,35.9,42
920,16.3,8
781,41.9,22
505,38.6,23
123,43.7,36
561,39.1,12
4,56.2,67
661,28,34
780,20.2,4
605,40.8,34
535,47.8,28
531,35.5,22
72,56,84
524,35.5,23
42,67.3,90
325,37.6,67
501,35.5,16
520,38,55
45,54.4,86
615,40.8,39
43,67.8,84
322,33.5,40
542,36.2,45
641,32.9,18
604,40.8,41
620,28.4,32
572,32,38
610,40.8,33
6,59.8,76
560,40.3,31
41,71.1,87
521,41.2,47
305,49.5,52
203,40.9,58
68,73.8,80
631,28,30
732,14.7,19
571,40.3,64
98,59.7,78
230,38.3,32
602,40.8,31
681,32.8,44
1,55,60
410,31.9,40
3,70.5,90
585,35.5,34
24,78.3,84
640,21.5,10
562,33.9,43
70,62,79
29,78.3,84
503,30.7,39
530,25.5,26
210,40.6,63
573,33.2,25
91,53.2,64
400,42.2,66
783,14.9,25
380,35.4,60
642,32.9,29
710,17.6,12
270,58.1,60
260,48.3,58
555,25.2,19
31,37.6,45
480,50.6,73
752,22.1,30
92,53.3,48
650,26.3,10
360,29.8,22
84,65.6,81
47,55.8,82
533,31.3,41
581,31.2,15
27,78.3,84
34,52.1,39
16,78.3,84
280,47.9,77
2,70.1,79
551,33.9,36
204,48.8,74
614,40.8,31
15,78.3,84
63,67.2,80
28,78.3,84
810,35,20
751,9.3,8
960,12.2,8
62,67.7,80
584,32.6,25
660,27.2,3
19,78.3,84
622,32.1,11
612,40.8,33
52,53.9,83
8,60,75
600,40.8,25
603,40.8,37
12,78.3,84
13,78.3,84
77,48.6,67
23,78.3,84
420,28.3,35
771,45.8,21
71,61.9,96
82,71.4,81
782,55,34
601,40.8,32
67,65,80
48,61.6,85
623,36.8,24
81,56.8,81
14,78.3,84
840,26.8,22
10,78.3,84
611,40.8,29
18,78.3,84
61,55.8,80
17,78.3,84
772,23.3,37
69,68.1,80
26,78.3,84
25,78.3,84
