OCC1950,OCC1950_name,OCCSOC,CPS Occupational Title
0,Accountants and auditors,132081,"Tax examiners and collectors, and revenue agents"
1,Actors and actresses,272011,Actors
10,College presidents and deans,119033,Education and childcare administrators
100,Farmers (owners and tenants),452091,Miscellaneous agricultural workers
100,Farmers (owners and tenants),452092,Miscellaneous agricultural workers
100,Farmers (owners and tenants),452093,Miscellaneous agricultural workers
123,Farm managers,451011,"First-line supervisors of farming, fishing, and forestry workers"
13,Post-Secondary Instructors/Deans: Biological sciences,251042,Postsecondary teachers
14,Post-Secondary Instructors/Deans: Chemistry,251052,Postsecondary teachers
16,Post-Secondary Instructors/Deans: Engineering,251032,Postsecondary teachers
18,Post-Secondary Instructors/Deans: Mathematics,251022,Postsecondary teachers
19,Post-Secondary Instructors/Deans: Medical sciences,251071,Postsecondary teachers
19,Post-Secondary Instructors/Deans: Medical sciences,251072,Postsecondary teachers
2,Airplane pilots and navigators,532011,Aircraft pilots and flight engineers
2,Airplane pilots and navigators,532012,Aircraft pilots and flight engineers
200,"Buyers and department heads, store",112011,Advertising and promotions managers
201,"Buyers and shippers, farm products",131021,
203,"Conductors, railroad",534031,Railroad conductors and yardmasters
204,Credit men,132072,Credit counselors and loan officers
210,"Inspectors, public administration",131041,Compliance officers
210,"Inspectors, public administration",132061,Financial examiners
210,"Inspectors, public administration",339093,Transportation security screeners
210,"Inspectors, public administration",452011,Agricultural inspectors
230,"Managers and superintendents, building",119141,"Property, real estate, and community association managers"
240,"Officers, pilots, pursers and engineers, ship",535021,Ship and boat captains and operators
240,"Officers, pilots, pursers and engineers, ship",535022,Ship and boat captains and operators
25,Post-Secondary Instructors/Deans: Statistics,251022,Postsecondary teachers
250,"Officials and administrators (n.e.c.), public administration",119161,Emergency management directors
260,"Officials, lodge, society, union, etc.",119199,
27,Post-Secondary Instructors/Deans: Social sciences (n.e.c.),251065,Postsecondary teachers
27,Post-Secondary Instructors/Deans: Social sciences (n.e.c.),251067,Postsecondary teachers
270,Postmasters,119131,"Managers, all other"
28,Post-Secondary Instructors/Deans: Non-scientific subjects,251062,Postsecondary teachers
28,Post-Secondary Instructors/Deans: Non-scientific subjects,251081,Postsecondary teachers
28,Post-Secondary Instructors/Deans: Non-scientific subjects,251082,Postsecondary teachers
280,Purchasing agents and buyers (n.e.c.),131023,
